,causes_type,sample_index,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature60,feature20_distance,featureY_mean,featureX_mean,featureY_min,featureX_min,Date & Time
39273,unknown,659,490.66,25.68,2.0,0.0,945.0,0.0,0.0,0.0,1.06,239605.0,254.0,945.0,15.0,2.0,,,,0.0,,,,,2019-08-07 18:26:02
39274,unknown,659,675.18,23.81,2.68,0.0,375.0,798.0,0.0,0.0,4.77,302727.0,258.0,1173.0,13.55,3.0,,,,0.0,,,,,2019-08-07 18:26:03
39275,unknown,659,845.54,23.33,3.0,0.0,0.0,1349.0,0.0,0.0,5.34,363753.0,270.0,1349.0,13.06,3.0,,,,0.0,,,,,2019-08-07 18:26:04
39276,unknown,659,844.46,24.36,3.0,1.0,0.0,1406.0,0.0,0.0,13.09,376783.0,268.0,1407.0,13.06,3.0,,,,0.0,,,,,2019-08-07 18:26:05
39277,unknown,659,839.08,23.32,3.0,1.0,0.0,1454.0,0.0,0.0,10.1,392646.0,270.0,1455.0,13.4,3.0,,,,0.0,,,,,2019-08-07 18:26:06
39278,unknown,659,842.66,23.66,3.0,3.0,0.0,1361.0,0.0,0.0,8.5,368659.0,270.0,1364.0,13.44,3.0,,,,0.0,,,,,2019-08-07 18:26:07
39279,unknown,659,838.37,23.92,3.0,1.0,0.0,1270.0,0.0,0.0,4.56,344962.0,271.0,1271.0,13.52,3.0,,,,0.0,,,,,2019-08-07 18:26:08
39280,unknown,659,846.69,24.37,3.0,0.0,0.0,1316.0,0.0,0.0,8.66,356520.0,271.0,1316.0,13.68,3.0,,,,0.0,,,,,2019-08-07 18:26:09
39281,unknown,659,837.88,24.84,3.0,2.0,0.0,1305.0,0.0,0.0,10.33,352790.0,270.0,1307.0,13.49,3.0,,,,0.0,,,,,2019-08-07 18:26:10
39282,unknown,659,840.64,23.89,3.0,1.0,0.0,1359.0,0.0,0.0,8.53,367839.0,270.0,1360.0,13.88,3.0,,,,0.0,,,,,2019-08-07 18:26:11
39283,unknown,659,840.31,23.83,3.0,1.0,0.0,1319.0,0.0,0.0,6.97,357839.0,271.0,1320.0,13.9,3.0,,,,0.0,,,,,2019-08-07 18:26:13
39284,unknown,659,831.63,24.19,3.0,1.0,0.0,1339.0,0.0,0.0,10.01,361943.0,270.0,1340.0,13.85,3.0,,,,0.0,,,,,2019-08-07 18:26:14
39285,unknown,659,846.41,23.12,3.0,0.0,0.0,1357.0,0.0,0.0,4.94,368391.0,271.0,1357.0,13.91,3.0,,,,0.0,,,,,2019-08-07 18:26:15
39286,unknown,659,836.58,23.57,3.0,0.0,0.0,1386.0,0.0,0.0,9.24,374436.0,270.0,1386.0,13.98,3.0,,,,0.0,,,,,2019-08-07 18:26:16
39287,unknown,659,843.22,23.31,3.0,0.0,0.0,1333.0,0.0,0.0,5.18,361887.0,271.0,1333.0,13.83,3.0,,,,0.0,,,,,2019-08-07 18:26:17
39288,unknown,659,842.16,23.82,3.0,0.0,0.0,1317.0,0.0,0.0,6.61,356825.0,271.0,1317.0,13.91,3.0,,,,0.0,,,,,2019-08-07 18:26:18
39289,unknown,659,834.09,23.4,3.0,0.0,0.0,1352.0,0.0,0.0,7.47,366041.0,271.0,1352.0,13.85,3.0,,,,0.0,,,,,2019-08-07 18:26:19
39290,unknown,659,842.27,23.1,3.0,1.0,0.0,1356.0,0.0,0.0,6.48,368489.0,272.0,1357.0,13.84,3.0,,,,0.0,,,,,2019-08-07 18:26:20
39291,unknown,659,836.68,23.37,3.0,0.0,0.0,1387.0,0.0,0.0,8.22,375177.0,270.0,1387.0,13.27,3.0,,,,0.0,,,,,2019-08-07 18:26:21
39292,unknown,659,834.21,24.06,3.0,1.0,0.0,1369.0,0.0,0.0,10.57,370521.0,270.0,1370.0,13.13,3.0,,,,0.0,,,,,2019-08-07 18:26:22
39293,unknown,659,847.54,24.07,3.0,0.0,0.0,1371.0,0.0,0.0,9.34,370970.0,271.0,1371.0,13.25,3.0,,,,0.0,,,,,2019-08-07 18:26:23
39294,unknown,659,842.34,24.12,3.0,0.0,0.0,1292.0,0.0,0.0,6.82,350759.0,271.0,1292.0,13.87,3.0,,,,0.0,,,,,2019-08-07 18:26:24
39295,unknown,659,840.54,24.14,3.0,0.0,0.0,1344.0,0.0,0.0,9.31,363502.0,270.0,1344.0,13.81,3.0,,,,0.0,,,,,2019-08-07 18:26:25
