,causes_type,sample_index,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature60,feature20_distance,featureY_if,featureX_if,featureY_mean,featureX_mean,featureY_min,featureX_min
0,rootcause3,670,188.5,18.23,1,1428,1,0,0,0,10.5,357248,250,1429,9.45,1,18.25,-81.38,-98,99.08535113,-424.865,6.305,-94.505,0.831875,-105.19,-14.13
1,rootcause3,670,187.3,16.49,1,1582,0,0,0,0,11.76,395018,250,1582,10.06,1,12.63,-85,-93,97.00903602,-465.42,-4.26,-98.568125,-1.445,-110.25,-17.69
2,rootcause3,670,128.23,11.93,1,1599,0,0,0,0,9.2,402378,252,1599,9.1,1,,,,98.52375464,-467.4,-7.76,-100.11625,-2.035,-110.75,-17.81
3,rootcause3,670,97.33,9.14,1,1519,0,0,0,0.15,12.51,381912,251,1519,8.72,1,9.13,-93.13,-99.75,94.14107922,-482.905,-30.995,-100.7725,-6.3175,-107.44,-16.69
4,rootcause3,670,32.62,9.12,1,1239,0,0,0,2.13,12.25,307940,249,1239,9.14,1,9.88,-90.25,-90,128.6519044,-417.3,-31.26,-100.39625,-8.29375,-110.38,-17.75
5,rootcause3,670,33.46,14.78,1.29,940,383,0,0,4.09,29.62,318503,241,1324,11.65,2,,,,111.0549915,-439.565,-24.635,-101.3375,-5.59375,-111.44,-17.94
6,rootcause3,670,38.86,9.68,1.78,254,876,0,0,1.37,22.81,279577,247,1130,13.52,1,15.25,-78,-90.25,147.8085064,-362.435,16.715,-90.91125,2.1725,-97.56,-14.13
7,rootcause3,670,60,12.19,1,1546,0,0,0,0.2,3.62,392362,254,1545,12.65,1,,,,102.1279338,-399.42,21.5,-88.579375,4.176875,-97.13,-4.5
8,rootcause3,670,57.13,10.37,1.88,154,1105,0,0,1.12,21.58,305353,243,1259,10.53,1,,,,,,,,,,
9,rootcause3,670,62.75,16.29,1.54,666,794,0,0,5.26,33.15,356788,244,1461,11.63,1,19.38,-80.38,-86,96.28865985,-435.305,24.105,-94.098125,4.6025,-102,-3.06
10,rootcause3,670,113.15,11.56,1,1454,0,0,0,0.08,10.6,365999,252,1454,10.16,1,16.25,-81.5,-88.38,96.61321517,-423.38,48.21,-91.39125,9.99,-101.19,-1.5
11,rootcause3,670,100.59,10.08,1,1548,0,0,0,0.43,9.59,388749,251,1548,10.3,1,24.5,-80,-93,96.28865985,-427.56,34.755,-92.37625,7.019375,-103.94,-6.94
12,rootcause3,670,120.38,10.07,1.46,794,685,0,0,0.44,6.64,369787,250,1479,10.84,2,,,,94.14107922,-412.505,74.25,-86.45375,15.18875,-94.38,7.25
13,rootcause3,670,189.37,9.66,2,1,1528,0,0,0,9.93,381309,249,1529,11.86,2,14.5,-82.88,-91.38,96.28865985,-415.53,30.99,-89.641875,6.314375,-95.75,-4.63
14,rootcause3,670,163.61,8.18,2,0,1553,0,0,0,8.37,391071,252,1554,11.74,2,20.25,-77.38,-95.25,102.1279338,-409,8.83,-90.8325,1.2775,-108.31,-13.88
15,rootcause3,670,126.1,15.62,2.54,52,678,734,74,7.59,36.61,371084,241,1538,11.88,3,,,,,,,,,,
16,rootcause3,670,94.51,10.57,2.4,3,712,479,0,0,4.1,299871,251,1193,11.81,2,15.88,-70.25,-83.13,153.981403,-324.45,17.48,-81.548125,3.571875,-89.25,-10.06
17,rootcause3,670,340.52,21.9,2,0,1559,0,0,0,5.66,391316,251,1559,13.54,2,18,-71,-77.63,150.2309909,-353.415,16.185,-86.018125,3.644375,-102.44,-14.19
18,rootcause3,670,334.42,21.49,2,0,1562,0,0,0,10.63,391016,250,1562,13.66,2,19,-69.63,-72,172.8171096,-289.61,36.535,-86.281875,10.5475,-93.13,-1.13
19,rootcause3,670,355.24,22.7,2,0,1517,0,0,0,8.47,378537,250,1517,13.22,2,24.75,-63.13,-73.63,150.0373064,-342.34,11.255,-85.816875,2.33625,-101.69,-18
20,rootcause3,670,295.82,21.41,2,0,1442,0,0,0,11.24,357858,248,1442,12.94,2,18.38,-70.25,-83,200.7997341,-292.26,2.665,-91.274375,-0.588125,-101.31,-13.81
21,rootcause3,670,235.91,17.99,2,0,1482,0,0,0,10.62,373100,252,1482,13.56,2,10.13,-71.38,-68.5,124.8663798,-348.525,-29.73,-86.61875,-7.4375,-99.81,-18
22,rootcause3,670,212.8,15.77,2,0,1564,0,0,0,9.24,392575,251,1564,12.72,2,9.38,-67.38,-79.13,112.4920188,-377.21,-36.485,-89.653125,-8.68875,-109.06,-18.5
23,rootcause3,670,186.39,14.83,2,0,1451,0,0,0.08,8.78,365800,252,1451,12.88,2,-8.75,-79.38,-80.63,153.0808552,-330.415,-42.95,-95.29875,-12.15,-110.25,-18.69
24,rootcause3,670,153.02,14.71,2,1,1405,0,0,0.16,10.11,353104,251,1407,12.14,2,4.88,-88,-88.13,152.4310982,-354.23,-22.68,-95.63875,-6.745,-102.06,-18
25,rootcause3,670,163.06,14.22,2,0,1451,0,0,0,8.41,357339,246,1451,12.64,2,,,,153.9330989,-342.28,-31.65,-89.92625,-8.724375,-97.38,-18.13
26,rootcause3,670,153.79,13.97,2,0,1461,0,0,0,9.9,367099,251,1460,13.08,2,6.75,-82,-82.5,146.3942439,-343.835,-40.22,-89.575,-9.974375,-109.75,-18.69
27,rootcause3,670,156.71,13.87,2,0,1568,0,0,0,9.03,395594,252,1569,12.8,2,-8,-74.25,-76.25,108.6395994,-394.495,-39.6,-93.68875,-9.11,-109.88,-18.69
28,rootcause3,670,170.81,13.98,2,0,1562,0,0,0,9.24,386476,248,1561,13.32,2,6.5,-83.75,-78.75,180.5134635,-288.595,-32.34,-92.7275,-10.083125,-110.69,-18.19
29,rootcause3,670,155.92,13.54,2,0,1572,0,0,0,8.72,396800,252,1572,13.2,2,1.75,-81.13,-81.63,105.0853511,-381.72,-19.085,-88.351875,-4.464375,-95.19,-18.06
30,rootcause3,670,163.78,13.78,2,0,1545,0,0,0,9.39,389681,252,1545,13.04,2,-8.75,-77.75,-77.38,109.516011,-413.7,-40.045,-95.836875,-9.351875,-106.44,-19.06
31,rootcause3,670,145.39,12.75,2,0,1568,0,0,0,9.7,395220,252,1568,12.86,2,-5.88,-84.75,-84.38,158.8525881,-342.37,-28.66,-98.06,-8.785625,-106.5,-18.94
32,rootcause3,670,139.87,12.29,2,0,1570,0,0,0,8.92,395456,252,1570,11.28,2,,,,138.4628341,-385.12,-41.29,-93.226875,-9.82625,-100.19,-18.06
33,rootcause3,670,137.78,12.68,2,0,1560,0,0,0,9.49,393706,252,1560,12.08,2,0.63,-85.63,-81.75,111.6054716,-408.44,-37.085,-96.770625,-8.945625,-106.19,-19
34,rootcause3,670,152.48,13.23,2,0,1545,0,0,0,9.16,387454,251,1546,12.68,2,4.13,-87.63,-86.25,101.5082172,-440.865,-51.965,-95.12125,-11.243125,-105.31,-18.94
35,rootcause3,670,125.26,11.23,1.99,20,1575,0,0,0.07,9.43,402075,252,1595,12.32,1,7.25,-83.13,-74.25,147.1436806,-369.395,-30.545,-92.604375,-7.97,-102.63,-20.13
36,rootcause3,670,108.35,15.67,1.01,1503,21,0,0,0,6.43,376827,247,1523,12.14,2,5.75,-82.63,-82.5,101.5082172,-436.305,-44.605,-94.28625,-9.888125,-107.31,-18.94
37,rootcause3,670,121.94,11.29,1.99,21,1537,0,0,0,11.03,390930,251,1558,12,1,2.88,-85,-85.5,142.4928741,-381.295,-41.625,-93.450625,-10.320625,-103,-14.56
38,rootcause3,670,87.57,13.55,1,1600,0,0,0,0,3.56,399836,250,1600,11.98,1,4.38,-83.88,-85.13,112.4920188,-409.035,-40.53,-97.07125,-9.59125,-105.25,-19.25
39,rootcause3,670,145.05,16.3,1.52,760,822,0,0,0,9.17,391036,247,1582,12.48,2,,,,152.4611383,-350.215,-38.19,-95.78625,-10.415625,-105.63,-18.88
40,rootcause3,670,144.14,13.06,2,0,1544,0,0,0,8.94,387643,251,1544,11.42,2,-1.5,-89.25,-83.63,147.9272264,-347.795,-39.635,-94.849375,-10.645625,-101.13,-19.81
41,rootcause3,670,104.57,9.8,1.99,17,1522,0,0,0,13.55,386257,251,1539,11.36,1,4.5,-84.38,-79.25,158.6364861,-309.295,-30.11,-95.91125,-9.64625,-107.31,-17.88
42,rootcause3,670,69.9,11.42,1,1601,0,0,0,0,4.45,404367,253,1601,11.18,1,4,-84,-77,145.3881957,-380.195,-33.22,-94.586875,-8.63875,-100.69,-18.5
43,rootcause3,670,100.77,15.33,1,1565,0,0,0,0,9.33,393455,251,1565,10.9,1,3.88,-84,-79.5,166.5161385,-312.14,-27.69,-94.298125,-8.814375,-106.69,-17.94
44,rootcause3,670,99.42,15.27,1,1540,0,0,0,0,9.09,383380,249,1541,11.8,1,5.5,-84,-79.13,147.9272264,-346.145,-38.21,-94.52875,-10.4425,-100.94,-19.75
45,rootcause3,670,108.68,16.63,1,1597,0,0,0,0.2,6.82,402776,252,1597,11.78,1,-0.38,-86.38,-78.5,138.4628341,-395.575,-43.205,-95.941875,-10.533125,-108.25,-18.63
46,rootcause3,670,132.66,18.96,1.21,1239,320,0,0,0,12.76,391263,251,1558,11.88,1,,,,159.0690924,-323.945,-27.405,-94.43875,-8.375625,-105.44,-18.5
47,rootcause3,670,143.02,16.91,2.13,734,0,662,133,1.09,22.3,376983,247,1529,11.47,1,,,,,,,,,,
48,rootcause3,673,176.37,15.61,1.98,43,1438,10,0,3.94,28.39,361493,242,1491,12.76,3,,,,,,,,,,
49,rootcause3,673,125.39,13,1.44,907,353,132,0,0.9,12.16,346160,248,1393,8.48,1,,,,,,,,,,
50,rootcause3,673,167.53,19.04,1.17,1157,231,0,0,0,17.8,345285,249,1387,13.62,1,12.88,-87.5,-89.5,119.8741234,-408.855,-9.76,-95.01625,-3.45,-104.75,-18.88
51,rootcause3,673,194.24,17.52,1,1515,0,0,0,0,8.91,375760,248,1516,13.98,1,17.25,-79.88,-92,88.28865985,-470.45,24.745,-94.489375,4.5675,-106.44,-7
52,rootcause3,673,156.83,14.96,1,1556,0,0,0,0,11.23,388808,250,1556,13.06,1,7.5,-89,-77.13,99.08535113,-450.865,-11.275,-100.143125,-2.75875,-111.69,-17.75
53,rootcause3,673,106.42,12.66,1,1386,0,0,0,0.08,12.55,343884,248,1385,11.8,1,13.88,-85.25,-86.88,108.3872905,-446.705,-19.23,-101.758125,-4.46875,-112,-18
54,rootcause3,673,48.58,7.04,1,1456,0,0,0,0.08,9.01,366714,252,1456,9.84,1,7.38,-91.63,-88,139.4185556,-380.145,-16.44,-98.945625,-4.984375,-109.56,-13.63
55,rootcause3,673,46.22,9.91,1,1496,0,0,0,1.05,10.92,377122,252,1496,10.18,1,7.88,-88.75,-91.38,140.3135577,-381.505,-28.6,-98.53625,-7.906875,-110.63,-17.56
56,rootcause3,673,36.06,9.77,1,1440,0,0,0,2.17,13.34,361934,251,1441,10.84,1,-9.38,-89.13,-87.88,96.47877996,-455.875,-23.55,-97.390625,-4.95375,-104.94,-13.94
57,rootcause3,673,70.81,16,1.09,1360,129,0,0,3.33,31.5,367234,247,1489,12.42,1,,,,,,,,,,
58,rootcause3,673,25.77,8.3,1.71,332,819,0,0,2.03,22.08,285895,248,1151,6.35,1,,,,,,,,,,
59,rootcause3,673,53.09,11.17,1.85,178,1044,0,0,1.79,26.68,301199,246,1222,11.19,2,20.88,-81,-91.63,96.28865985,-433.15,33.65,-93.67,6.615,-102.44,-1.5
60,rootcause3,673,59.3,10.63,1.15,1100,190,0,0,0.48,3.41,326020,253,1291,12.11,1,21,-80.75,-92.75,94.14107922,-423.68,39.025,-88.72375,7.771875,-95.69,1
61,rootcause3,673,102.03,16.93,1,1498,0,0,0,1.13,11.42,377970,252,1498,13.16,1,21,-81,-92.38,94.14107922,-435.555,49.205,-91.26,9.955,-100.38,1.19
62,rootcause3,673,92.22,16.23,1,1524,0,0,0,1.33,10.4,385766,253,1523,13.98,1,24.13,-73.38,-86.38,102.1279338,-392.69,50.875,-87.270625,10.415,-95.56,0.56
63,rootcause3,673,139,16.89,1.33,1032,502,0,0,0.7,6.86,387512,253,1534,12.42,2,20.5,-78.75,-81.63,94.14107922,-419.57,52.36,-87.92625,10.644375,-97.75,-2.19
64,rootcause3,673,207.22,15.81,2,1,1546,0,0,0.07,9.7,389270,252,1547,12.42,2,14.88,-81.88,-91.88,102.1279338,-409.54,26.345,-90.903125,5.179375,-100,-5.06
65,rootcause3,673,182.75,14.5,2,0,1586,0,0,0,9.14,400630,253,1586,13.38,2,15,-77.75,-94.63,106.9260013,-416.12,4.695,-92.4225,0.5225,-103,-7.88
66,rootcause3,673,188.37,16.91,2.14,46,1291,148,60,1.63,16.65,381145,247,1545,13.82,4,,,,142.4928741,-358.15,18.885,-88.285625,3.125,-98.06,-12.13
67,rootcause3,673,150.06,14.26,2.96,2,58,1264,15,4.15,29.38,329912,246,1339,14.29,2,,,,,,,,,,
68,rootcause3,673,269.51,12.91,2,0,1571,0,0,0,9.23,397308,253,1571,12.86,2,11.5,-74.38,-73.13,106.1948286,-424.46,-37.365,-95.950625,-8.441875,-102.81,-19.19
69,rootcause3,673,149.48,10.19,1.37,1012,589,0,0,0,8.87,403293,252,1601,11.46,1,1.63,-88,-88.5,113.0232557,-404.515,-46.58,-96.865,-11.013125,-106.88,-18.31
70,rootcause3,673,67.4,11.59,1.25,1062,75,0,78,1.2,18.09,301576,248,1216,9.67,2,,,,119.1800064,-403.58,-47.275,-100.169375,-11.750625,-111.13,-18.88
71,rootcause3,673,474.28,21.58,2,0,1600,0,0,0,12.24,400832,251,1600,9.06,2,,,,,,,,,,
72,rootcause3,673,477.07,21.23,2,0,1563,0,0,0,15.99,391754,251,1562,9.52,2,19.25,-73.38,-83.63,103.2809162,-418.405,29.73,-93.961875,6.535625,-106,-12.44
73,rootcause3,673,276.97,12.99,2,0,1601,0,0,0,10.31,403585,252,1601,8.94,2,15,-81.5,-84.63,121.9919972,-397.125,15.87,-97.325,2.53125,-108.44,-17.38
74,rootcause3,673,185.37,13.11,1.38,947,587,0,0,0,8.8,382476,249,1534,8.84,1,11,-85.88,-87.88,124.9099074,-404.19,1.85,-98.520625,-0.380625,-109.13,-18.13
75,rootcause3,673,164.42,14.72,1,1569,0,0,0,0,8.22,393824,251,1569,8.5,1,10.75,-84.75,-93,131.9967962,-396.975,-15.11,-99.935625,-4.38375,-109.5,-16.5
76,rootcause3,673,257.1,16.07,1.63,572,983,0,0,0,12.61,384903,248,1555,10.4,2,,,,,,,,,,
77,rootcause3,673,216.96,11.83,1.85,188,1098,0,0,0,3.66,324303,252,1286,8.38,1,17.5,-75.5,-84.5,94.14107922,-396.14,34.765,-82.96625,7.150625,-92.31,-3.88
78,rootcause3,673,254.25,21.07,1,1561,0,0,0,0,9.23,394784,253,1561,12.52,1,19.13,-71.75,-83.5,149.0194664,-328.745,34.84,-84.450625,6.919375,-94.31,-12.13
79,rootcause3,673,275.2,21.47,1.21,1231,318,0,0,0,12.52,389873,252,1549,12.64,1,17.88,-76.13,-91.63,96.61321517,-383.265,49.565,-82.825,10.400625,-90.06,2.94
80,rootcause3,673,299.98,18.01,1.62,612,986,0,0,0,12,401199,251,1599,12.66,2,18.88,-74.75,-89.88,96.61321517,-391.565,54.785,-84.661875,11.38,-93.75,4.63
81,rootcause3,673,358.15,15.73,2,1,1561,0,0,0,8.19,394051,252,1562,12.76,2,,,,96.61321517,-400.69,26.55,-86.544375,5.661875,-91.56,-8.19
82,rootcause3,673,348.82,15.89,2,0,1551,0,0,0,10.32,390803,252,1550,12.78,2,18.13,-78.63,-91.25,126.8183953,-347.765,16.09,-85.4775,2.110625,-100.31,-18.63
83,rootcause3,673,305.3,14.25,2,0,1576,0,0,0,10.84,396633,252,1576,13.46,2,13.88,-75.38,-72.38,96.61321517,-382.7,26.58,-82.73875,5.668125,-89.31,-4.81
84,rootcause3,673,242.08,11.7,1.88,192,1409,0,0,0,7.75,404134,252,1601,12.82,1,7.75,-78,-78.88,96.28865985,-397.785,13.625,-85.934375,2.840625,-93.81,-7.44
85,rootcause3,673,206.38,17.5,1,1560,0,0,0,0,8.65,393913,253,1560,12.32,1,7.38,-78.25,-76.88,96.61321517,-404.27,19.905,-87.211875,4.188125,-95.44,-6.44
86,rootcause3,673,180.77,12.66,1.59,633,919,0,0,0.07,11.35,391400,252,1552,12.62,2,12.13,-79.5,-79,99.78478805,-401.36,10.82,-88.40875,2.275,-95.5,-12.31
87,rootcause3,673,180.72,8.81,2,0,1601,0,0,0,9.06,404376,253,1601,13.88,2,11.88,-79,-81.5,99.78478805,-403.535,17.295,-88.946875,3.656875,-97.56,-7.25
88,rootcause3,673,174.2,8,2,1,1571,0,0,0,7.13,397099,253,1572,11.84,2,,,,99.78478805,-381.78,31.19,-84.18875,6.641875,-93.38,-2.81
89,rootcause3,673,145.75,9.7,2,3,1203,0,0,0,10.12,302697,251,1206,12.96,2,20.13,-75.75,-84.38,96.61321517,-396.395,47.225,-85.696875,9.95875,-99.56,-0.63
90,rootcause3,673,198.66,9.8,2,0,1590,0,0,0,9.48,400288,252,1591,13.68,2,19.75,-72.5,-86.75,140.4372505,-351.76,41.99,-87.8575,8.833125,-97.06,-5.81
91,rootcause3,675,163.58,14.28,1.1,1266,146,0,0,0,6.18,354249,251,1412,9.1,1,17,-90,-99.38,102.1279338,-445.705,38.14,-98.608125,7.7,-104.75,-7.19
92,rootcause3,675,149.5,14.33,1,1526,0,0,0,0,9.82,383558,251,1527,9.1,1,18,-89,-98.38,103.9803532,-443.845,29.92,-98.856875,6.07125,-106.88,-2.13
93,rootcause3,675,152.09,13.98,1,1529,0,0,0,0,8.43,382195,250,1529,9,1,15.75,-89.75,-96.88,114.7193198,-411.285,28.665,-99.595,5.934375,-109.56,-5.81
94,rootcause3,675,146.65,13.58,1,1594,0,0,0,0,8.53,402083,252,1593,8.82,1,16.38,-88.75,-97.88,111.2505567,-420.51,37.49,-97.025,7.895,-104.69,-0.19
95,rootcause3,675,157.99,14.6,1,1548,0,0,0,0,9.43,389852,252,1548,7.86,1,18,-89.88,-98.38,92.95636092,-478.89,37.5,-99.643125,7.351875,-104.06,1.75
96,rootcause3,675,164.43,15.06,1,1517,0,0,0,0,6.4,381462,251,1517,7.72,1,16.25,-88.63,-103.88,95.50821721,-469.85,32.445,-97.344375,6.46625,-108.81,-2.81
97,rootcause3,675,191.52,16.65,1,1578,0,0,0,0,8.74,395336,251,1578,7.42,1,19.75,-90.13,-99.13,120.6519044,-409.465,36.665,-96.509375,8.08375,-104.63,-3.13
98,rootcause3,675,167.06,15.85,1,1464,0,0,0,0,8.95,366625,250,1464,7.64,1,18,-86,-95.38,98.52375464,-454.03,38.415,-97.04375,8.084375,-107.06,-4.06
99,rootcause3,675,144.06,14.74,1,1512,0,0,0,0,11.53,380775,252,1512,8.38,1,20.88,-86.5,-90.5,113.210366,-416.03,27.725,-96.384375,5.915625,-105.5,-4
100,rootcause3,675,129.3,13.09,1,1544,0,0,0,0,8.35,391062,253,1544,8.68,1,21.38,-86.75,-94,94.14107922,-455.575,40.895,-95.3225,8.105625,-102.44,-0.38
101,rootcause3,675,113.85,11.67,1,1541,0,0,0,0,8.11,388863,252,1542,8.58,1,21.75,-77.13,-89.38,88.28865985,-455.505,40.18,-91.12125,8.279375,-103.44,1.13
102,rootcause3,675,149.75,12.74,1.28,1026,402,0,0,0,6.51,358101,251,1428,9.04,2,,,,94.14107922,-453.82,61.71,-94.860625,12.443125,-105,1.44
103,rootcause3,675,184.9,10.37,2,1,1498,0,0,0,9.41,372598,249,1498,8.94,2,21,-85.25,-99,92.61321517,-448.955,52.215,-93.2825,10.406875,-100.13,0.31
104,rootcause3,675,242.93,11.28,2,0,1587,0,0,0,7.3,399878,252,1587,8.76,2,26,-86.25,-81.75,111.0549915,-403.635,56.76,-93.165625,12.3525,-105.25,4.06
105,rootcause3,675,222.64,11.22,2,0,1548,0,0,0,10.79,390058,252,1548,9.02,2,25.75,-79.75,-84.5,102.1279338,-438.97,60.875,-97.33375,12.533125,-106.31,4.88
106,rootcause3,675,170.22,9.64,2,1,1550,0,0,0,10.32,389675,251,1551,9.46,2,29,-79.38,-87.5,94.14107922,-455.9,64.675,-95.188125,13.24375,-104.56,3.81
107,rootcause3,675,170.03,8.4,2,0,1580,0,0,0,7.85,397773,252,1580,9.76,2,34.38,-80.88,-94.75,109.4602327,-397.175,74.405,-94.41625,16.485625,-103.19,5.5
108,rootcause3,675,215.67,10.21,2,0,1542,0,0,0,6.23,387270,251,1542,9.66,2,,,,102.1279338,-426.01,73.275,-94.489375,15.25875,-102.44,4.81
109,rootcause3,675,293.22,13.74,2,0,1555,0,0,0,8.42,385530,248,1555,9.32,2,28.5,-77.38,-87,110.7304362,-377.06,57.52,-88.838125,12.461875,-97.31,-0.25
110,rootcause3,675,262.31,12.49,2,1,1560,0,0,0,9.42,387548,248,1561,8.56,2,25.38,-82.63,-95.38,109.4602327,-379.01,79.035,-90.08,17.685625,-101.63,9.13
111,rootcause3,675,254.05,12.59,2,0,1567,0,0,0,10.65,394029,251,1568,9.48,2,33.88,-73.25,-85.5,95.50821721,-386.07,87.805,-79.86,18.101875,-88.25,5.81
112,rootcause3,675,270.71,12.97,2,0,1597,0,0,0,8.26,400749,251,1597,10.6,2,,,,99.78478805,-382.9,90.955,-84.353125,19.266875,-94.25,9.88
113,rootcause3,675,226.89,13.5,1.67,485,980,0,0,0,9.42,367790,251,1464,10.08,1,,,,99.78478805,-391.36,96.305,-86.17,20.430625,-104.5,9.25
114,rootcause3,675,196.95,17.4,1,1542,0,0,0,0,11.47,384734,249,1543,9.64,1,,,,96.61321517,-435.465,49.265,-93.6225,10.200625,-108.88,-7.56
115,rootcause3,675,104.87,10.53,1,1580,0,0,0,0,9.63,398874,253,1579,8.88,1,26.88,-84.25,-95.75,96.61321517,-429.235,26.49,-92.3175,5.298125,-106.19,-9.44
116,rootcause3,675,75.38,8.63,1,1421,0,0,0,0,10.97,353768,249,1421,9.08,1,,,,119.04432,-374.88,42.925,-89.513125,8.82125,-99.75,-7.06
117,rootcause3,675,50.94,6.48,1,1500,0,0,0,0.07,7.92,377775,252,1500,8.58,1,22,-83,-93.38,106.148873,-391.34,35.165,-89.0175,7.185,-97.94,-7.81
118,rootcause3,675,56.54,7.08,1,1420,0,0,0,0,7.86,358150,252,1420,8.34,1,18.88,-79.63,-92,96.45248912,-444.875,49.15,-94.550625,9.91875,-100.81,-3.06
119,rootcause3,675,55.75,7.67,1,1029,0,0,0,0,8.42,259513,252,1030,7.96,1,,,,121.408405,-360.915,33.595,-87.935,6.068125,-93.56,-14.81
120,rootcause3,675,21.13,7.15,1,1103,0,0,0,0.1,8.33,277360,252,1102,9.9,1,12.25,-79.75,-85.63,111.8702732,-383.395,30.07,-90.599375,6.4575,-100.75,-14.63
121,rootcause3,675,29.58,7.72,1,1306,0,0,0,0.08,6.58,332026,254,1307,11.68,1,18.63,-82,-87.38,120.3437855,-372.68,28.7,-91.090625,6.321875,-103.38,-14.31
122,rootcause3,675,37.94,8.61,1,1383,0,0,0,0,8.04,350677,254,1383,10.44,1,16.88,-81.5,-87.25,113.7939581,-388.43,39.71,-90.295,8.8075,-104.56,-5.69
123,rootcause3,675,38.68,9.36,1,1307,0,0,0,0,7.69,322957,247,1306,11.1,1,22.5,-75.38,-87.13,102.1279338,-397.055,41.575,-88.01375,8.246875,-100.06,-10.69
124,rootcause3,675,52.5,10.19,1,1460,0,0,0,0,5.43,365467,250,1460,11.44,1,-6.63,-79.25,-79.63,113.1914557,-371.055,19.81,-88.875625,4.579375,-96.06,-12.44
125,rootcause3,675,46.77,11.16,1,1297,0,0,0,0,9.6,320762,247,1297,12.56,1,,,,124.8685965,-350.755,30.34,-90.018125,5.636875,-97.38,-16.75
126,rootcause3,675,35.57,9.05,1,1329,0,0,0,0,6.42,328190,247,1329,11.78,1,15.13,-82.25,-91,123.6254383,-362.235,21.47,-89.4075,4.80375,-96.5,-9.88
127,rootcause3,675,38.47,8.76,1,1353,0,0,0,0,6.04,338206,250,1353,10.7,1,19.13,-76,-76,118.0006397,-357.82,27.635,-86.98625,6.115,-93.75,-14.56
128,rootcause3,675,28.87,9.61,1,1049,0,0,0,0.1,6.2,262006,250,1049,10.26,1,6.13,-79,-89.63,110.7304362,-369.655,38.965,-86.754375,8.651875,-97,0
