sample_index,root-cause(s),Root1,Root2,Root3
670,rootcause3,0,0,1
673,rootcause3,0,0,1
675,rootcause3,0,0,1
684,rootcause3,0,0,1
690,rootcause3,0,0,1
694,rootcause3,0,0,1
696,rootcause3,0,0,1
700,rootcause3,0,0,1
703,rootcause3,0,0,1
704,rootcause3,0,0,1
712,rootcause3,0,0,1
717,rootcause3,0,0,1
720,rootcause3,0,0,1
721,rootcause3,0,0,1
730,rootcause3,0,0,1
735,rootcause3,0,0,1
737,rootcause3,0,0,1
745,rootcause3,0,0,1
768,rootcause3,0,0,1
770,rootcause3,0,0,1
771,rootcause3,0,0,1
781,rootcause3,0,0,1
782,rootcause3,0,0,1
787,rootcause3,0,0,1
791,rootcause3,0,0,1
798,rootcause3,0,0,1
814,rootcause3,0,0,1
816,rootcause3,0,0,1
827,rootcause3,0,0,1
834,rootcause3,0,0,1
836,rootcause3,0,0,1
843,rootcause2&rootcause3,0,1,1
846,rootcause3,0,0,1
852,rootcause3,0,0,1
868,rootcause3,0,0,1
870,rootcause3,0,0,1
871,rootcause3,0,0,1
877,rootcause3,0,0,1
883,rootcause3,0,0,1
890,rootcause3,0,0,1
896,rootcause3,0,0,1
901,rootcause3,0,0,1
913,rootcause3,0,0,1
914,rootcause1,1,0,0
915,rootcause1,1,0,0
916,rootcause1,1,0,0
917,rootcause1,1,0,0
918,rootcause1,1,0,0
919,rootcause1,1,0,0
920,rootcause1,1,0,0
921,rootcause1,1,0,0
922,rootcause1,1,0,0
924,rootcause1,1,0,0
925,rootcause1,1,0,0
926,rootcause1,1,0,0
927,rootcause1,1,0,0
928,rootcause1,1,0,0
929,rootcause1,1,0,0
959,rootcause3,0,0,1
965,rootcause3,0,0,1
966,rootcause3,0,0,1
967,rootcause3,0,0,1
968,rootcause3,0,0,1
970,rootcause3,0,0,1
972,rootcause3,0,0,1
979,rootcause3,0,0,1
980,rootcause2&rootcause3,0,1,1
991,rootcause1,1,0,0
993,rootcause1,1,0,0
997,rootcause3,0,0,1
1004,rootcause3,0,0,1
1007,rootcause1,1,0,0
1009,rootcause3,0,0,1
1021,rootcause1,1,0,0
1022,rootcause2&rootcause3,0,1,1
1033,rootcause3,0,0,1
1034,rootcause1,1,0,0
1037,rootcause1,1,0,0
1045,rootcause3,0,0,1
1050,rootcause3,0,0,1
1077,rootcause3,0,0,1
1079,rootcause3,0,0,1
1084,rootcause3,0,0,1
1085,rootcause3,0,0,1
1093,rootcause2&rootcause3,0,1,1
1113,rootcause3,0,0,1
1119,rootcause3,0,0,1
1124,rootcause3,0,0,1
1130,rootcause3,0,0,1
1142,rootcause1,1,0,0
1145,rootcause3,0,0,1
1159,rootcause3,0,0,1
1162,rootcause3,0,0,1
1168,rootcause3,0,0,1
1169,rootcause3,0,0,1
1170,rootcause3,0,0,1
1171,rootcause1,1,0,0
1184,rootcause2&rootcause3,0,1,1
1202,rootcause3,0,0,1
1208,rootcause3,0,0,1
1213,rootcause3,0,0,1
1214,rootcause3,0,0,1
1221,rootcause3,0,0,1
1226,rootcause3,0,0,1
1234,rootcause3,0,0,1
1239,rootcause3,0,0,1
1240,rootcause3,0,0,1
1246,rootcause3,0,0,1
1250,rootcause1,1,0,0
1251,rootcause1,1,0,0
1252,rootcause1,1,0,0
1255,rootcause1,1,0,0
1257,rootcause1,1,0,0
1258,rootcause1,1,0,0
1278,rootcause3,0,0,1
1283,rootcause3,0,0,1
1301,rootcause3,0,0,1
1342,rootcause3,0,0,1
1367,rootcause3,0,0,1
1372,rootcause3,0,0,1
1378,rootcause3,0,0,1
1380,rootcause1,1,0,0
1382,rootcause3,0,0,1
1388,rootcause3,0,0,1
1394,rootcause2&rootcause3,0,1,1
1397,rootcause2&rootcause3,0,1,1
1401,rootcause3,0,0,1
1402,rootcause2&rootcause3,0,1,1
1403,rootcause3,0,0,1
1406,rootcause3,0,0,1
1414,rootcause1,1,0,0
1415,rootcause3,0,0,1
1418,rootcause3,0,0,1
1424,rootcause3,0,0,1
1426,rootcause3,0,0,1
