,index,length,pre=1,pre=0,score
0,0,600,2,28,0.40984999338785805
1,1,600,0,30,0.006879839301109314
2,2,600,0,30,0.007855732738971711
3,3,600,30,0,0.9048420588175455
4,4,600,25,5,0.6008689244588216
5,5,600,29,1,0.9555061340332032
6,6,600,0,30,0.00014071660116314887
7,7,600,30,0,0.9999998728434245
8,8,600,0,30,0.0029236460725466412
9,9,600,0,30,0.004163833210865656
10,10,600,0,30,0.0005364563936988512
11,11,600,30,0,0.9685866038004557
12,12,600,30,0,0.9990208943684896
13,13,600,30,0,0.9973723729451497
14,14,600,0,30,3.85663821361959e-05
15,15,600,0,30,0.0007318445791800817
16,16,600,27,3,0.9107540130615235
17,17,600,0,30,0.00044637160996596016
18,18,600,0,30,0.0005768234531084697
19,19,600,30,0,0.9851089477539062
20,20,600,1,29,0.2776278813680013
21,21,600,28,2,0.622844123840332
22,22,600,29,1,0.9691605885823568
23,23,600,30,0,0.9999982198079427
24,24,600,30,0,0.9998263676961263
25,25,600,0,30,0.016165187954902648
26,26,600,30,0,0.9896455764770508
27,27,600,29,1,0.9361924489339193
28,28,600,30,0,0.9908950805664063
29,29,600,30,0,0.9999802907307943
30,30,600,30,0,0.9688066482543946
31,31,600,0,30,0.008596007029215496
32,32,600,2,28,0.4148533503214518
33,33,600,27,3,0.8673821767171224
34,34,600,0,30,0.001407801608244578
35,35,600,30,0,0.9986661275227865
36,36,600,0,30,0.00108108160396417
37,37,600,0,30,0.03013713558514913
38,38,600,1,29,0.36916720072428383
39,39,600,0,30,0.0002857371543844541
40,40,600,30,0,0.9956439336140951
41,41,600,0,30,0.010309887925783794
42,42,600,29,1,0.9574756622314453
43,43,600,23,7,0.710281244913737
44,44,600,30,0,0.9962326049804687
45,45,600,0,30,0.0008639995629588763
46,46,600,0,30,0.002770308405160904
47,47,600,0,30,0.08555121421813965
48,48,600,29,1,0.9022517522176107
49,49,600,0,30,0.00731076051791509
50,50,600,3,27,0.4290364583333333
51,51,600,30,0,0.8564215342203776
52,52,600,30,0,0.9897274653116862
53,53,600,0,30,0.005149754385153453
54,54,600,0,30,0.002680390328168869
55,55,600,0,30,0.012613135576248168
56,56,600,0,30,0.003202277421951294
57,57,600,25,5,0.835939598083496
58,58,600,0,30,0.004366074502468109
